packet,nano,n_play,n_buzz,n_censor,beta_ai,beta_human,dbeta,gap_area,gap_early,gap_end,delta_area,delta_early,delta_end,ai_solve_end,human_solve_end,org_human_minus_ai,org_adv_rank
2,RtTjMY8PLfkYYn0C74ri,5,5,0,7.017,2.986,4.031,0.2401,0.1873,0.4743,3.5906,3.981,1.9795,0.031,0.505,1.0,1
2,lTRxMAHr44dPaBWARrv6,5,5,0,4.886,2.112,2.774,0.384,0.3434,0.5312,2.4793,2.7602,1.1095,0.124,0.655,0.846154,5
2,FoIIY3NZ2zlaiM8m5ssY,5,5,0,5.959,3.02,2.938,0.2543,0.1798,0.4958,2.4758,2.9052,0.8078,0.163,0.659,0.8,3
3,Hc46kNNIrL0CrjR6kddu,5,3,2,7.703,5.071,2.632,0.0546,0.0278,0.2449,2.3654,2.6081,1.2965,0.022,0.267,0.6,10
4,xeQ0nXBIAAoLs1okPf4V,5,4,1,7.207,4.57,2.636,0.0802,0.0454,0.2907,2.351,2.6047,1.2958,0.028,0.319,0.6,13
2,JSgtsRTgAWKoKskUdk5c,5,4,1,7.403,4.837,2.566,0.0655,0.035,0.2651,2.2965,2.5388,1.2624,0.026,0.291,0.6,8
1,RymSumAaUKDKnumFbZLb,5,3,2,7.222,4.737,2.486,0.07,0.0384,0.2734,2.225,2.4594,1.2216,0.028,0.301,0.6,7
3,OZBuu5dExz2bWouyhXCX,5,3,2,6.919,4.632,2.287,0.0728,0.0417,0.2815,2.0629,2.2694,1.1199,0.033,0.314,-0.092308,63
4,lFtMblSONntfsqyh20ka,5,5,0,5.432,2.931,2.5,0.274,0.19,0.3697,1.9144,2.4808,0.1536,0.417,0.787,0.416667,28
2,nWa9M3JHZkZUkh4tvZzv,5,5,0,5.022,2.464,2.558,0.3576,0.2854,0.3545,1.7256,2.4586,0.1148,0.444,0.798,0.723077,6
3,hzl498g9RffsMQpA1sRa,5,4,1,5.305,3.052,2.253,0.2985,0.2001,0.4401,1.6026,2.0925,0.4025,0.279,0.719,0.492308,26
1,NpuyoBsTcOckEOeIVITg,5,3,2,7.42,5.711,1.708,0.0331,0.0145,0.1854,1.5396,1.6943,0.8395,0.025,0.211,0.4,17
4,ftLJXrWhRtZa9W5sPFwP,5,3,2,7.194,5.65,1.543,0.0361,0.0156,0.1876,1.3761,1.5248,0.7585,0.028,0.216,0.4,21
1,Pv4vwLpJWiSpu6CJVx1x,5,3,2,7.18,6.204,0.976,0.0239,0.0088,0.1445,0.8679,0.963,0.4801,0.028,0.173,0.4,18
1,8JAFUITLrwZCMFkrmP6L,5,4,1,3.248,2.252,0.995,0.3274,0.2856,0.4204,0.8397,0.9805,0.3113,0.266,0.686,0.338462,33
