packet,nano,n_play,n_buzz,n_censor,beta_ai,beta_human,dbeta,gap_area,gap_early,gap_end,delta_area,delta_early,delta_end,ai_solve_end,human_solve_end,org_human_minus_ai,org_adv_rank
2,lTRxMAHr44dPaBWARrv6,5,5,0,5.485,2.118,3.367,0.2624,0.2294,0.415,3.0506,3.3532,1.4885,0.081,0.496,0.846154,5
2,JSgtsRTgAWKoKskUdk5c,5,4,1,6.638,4.001,2.637,0.0663,0.043,0.2516,2.4139,2.6312,1.1554,0.052,0.303,0.6,8
3,OZBuu5dExz2bWouyhXCX,5,3,2,7.293,4.778,2.515,0.0369,0.0205,0.1671,2.2902,2.502,1.2339,0.027,0.194,-0.092308,63
3,o4nZbIcZSX4boHBjTZVn,5,3,2,3.783,2.357,1.426,0.2278,0.1817,0.2397,0.9719,1.369,0.0772,0.449,0.689,0.215385,39
4,8eOnJExgG3MFgY747W8t,5,4,1,5.975,4.583,1.392,0.1106,0.0275,0.2294,0.9041,1.3351,0.0365,0.461,0.69,0.183333,44
3,lmJujW41V3etZ89PTHFz,5,5,0,3.64,1.759,1.881,0.3339,0.3444,0.2654,0.8961,1.3179,0.1771,0.415,0.68,0.0,43
5,tfFfPpV8sVyypYyIyUP9,1,1,0,4.384,3.458,0.926,0.0835,0.0615,0.2288,0.8449,0.9234,0.4033,0.129,0.358,0.846154,
1,8JAFUITLrwZCMFkrmP6L,5,4,1,2.814,1.813,1.001,0.2585,0.2368,0.2704,0.8143,0.989,0.1879,0.371,0.641,0.338462,33
4,t5g7AuUI7qtpnK9CXh0l,5,4,1,4.952,3.732,1.22,0.1673,0.1006,0.2721,0.7169,0.9603,0.2306,0.282,0.554,0.1,52
4,EpS4cHZdIsGK9tbAVLF5,5,5,0,3.452,2.398,1.055,0.2295,0.1875,0.2522,0.662,0.9302,0.1145,0.407,0.66,0.3,35
4,Ef0Iqz1ZONhttNfXlfLp,5,4,1,5.132,4.103,1.029,0.1401,0.0663,0.258,0.6156,0.8543,0.1426,0.329,0.587,0.1,50
2,tvjdNWhB4uGKe6y8at2B,5,4,1,4.909,3.237,1.672,0.2044,0.1784,0.2157,0.5985,1.1276,0.001,0.499,0.715,0.261538,37
4,SthSdFIXXygj3uduwLeK,5,4,1,5.12,4.419,0.7,0.0606,0.0245,0.2385,0.5837,0.6924,0.1693,0.225,0.463,0.4,20
2,RtTjMY8PLfkYYn0C74ri,5,5,0,4.666,2.652,2.014,0.2421,0.2534,0.2157,0.5783,1.1125,0.0011,0.499,0.715,1.0,1
1,xXVg1KHjxl7PR2ueDO1C,5,3,2,6.333,5.686,0.646,0.0304,0.0067,0.2289,0.5594,0.6453,0.1242,0.228,0.457,0.369231,30
2,ZBkYl7ZwedkrrhTlkylv,5,5,0,5.325,3.915,1.411,0.1788,0.1331,0.2155,0.5039,0.9564,0.0005,0.5,0.715,0.923077,2
4,REYC2yK3nFZQvvqkNrXa,5,3,2,4.955,4.329,0.626,0.0883,0.0633,0.1503,0.4232,0.477,0.307,0.081,0.231,-0.266667,74
4,SxqSqGQ1LYJ59RO4htDQ,5,4,1,4.255,3.192,1.063,0.2,0.1671,0.2166,0.397,0.7252,0.0031,0.497,0.714,-0.116667,60
3,cW8GwQmlfOm4TCbVMrVt,5,2,3,3.37,2.659,0.712,0.2199,0.1843,0.2564,0.3888,0.5243,0.1291,0.352,0.608,-0.523077,91
1,I2QtfMpPDixkYknKBme8,5,3,2,4.731,3.98,0.752,0.1683,0.1015,0.2402,0.3573,0.534,0.0612,0.405,0.645,-0.369231,85
