model,theta_qanta_scale
thunghiatruong/claude-heavyweight,0.5382
ileygreg/qanta_41mini_v2,0.4006
168mxie/heavy1,0.3902
ileygreg/qanta_41miniv1,0.385
eshanli/eshan_v3_calibrated_nano,0.3694
168mxie/heavy2,0.359
Mokshj1/moksh_tossup_multimodal_qa,0.3331
ileygreg/qanta_41mini_v3,0.3331
sidS216/sid_tossup_agent,0.328
168mxie/heavy3,0.3074
nirjharami108/qanta41mini_v1,0.2158
divyagoyal6224/divya6224,-0.2927
divyagoyal6224/divyagoyal,-0.4276
168mxie/anthropic,-0.8353
eshanli/calibrated_3step_tossup_v1,-1.0582
168mxie/tw-step-simple,-1.3461
HUMAN,0.9216
HUMAN_buzz_only,2.996
