packet,nano,delta_area,gap_area,human_buzz_frac,org_adv_rank
2,lTRxMAHr44dPaBWARrv6,3.0506,0.2624,1.0,5
2,JSgtsRTgAWKoKskUdk5c,2.4139,0.0663,0.8,8
3,OZBuu5dExz2bWouyhXCX,2.2902,0.0369,0.6,63
3,o4nZbIcZSX4boHBjTZVn,0.9719,0.2278,0.6,39
4,8eOnJExgG3MFgY747W8t,0.9041,0.1106,0.8,44
3,lmJujW41V3etZ89PTHFz,0.8961,0.3339,1.0,43
5,tfFfPpV8sVyypYyIyUP9,0.8449,0.0835,1.0,
1,8JAFUITLrwZCMFkrmP6L,0.8143,0.2585,0.8,33
4,t5g7AuUI7qtpnK9CXh0l,0.7169,0.1673,0.8,52
4,EpS4cHZdIsGK9tbAVLF5,0.662,0.2295,1.0,35
4,Ef0Iqz1ZONhttNfXlfLp,0.6156,0.1401,0.8,50
2,tvjdNWhB4uGKe6y8at2B,0.5985,0.2044,0.8,37
4,SthSdFIXXygj3uduwLeK,0.5837,0.0606,0.8,20
2,RtTjMY8PLfkYYn0C74ri,0.5783,0.2421,1.0,1
1,xXVg1KHjxl7PR2ueDO1C,0.5594,0.0304,0.6,30
2,ZBkYl7ZwedkrrhTlkylv,0.5039,0.1788,1.0,2
4,REYC2yK3nFZQvvqkNrXa,0.4232,0.0883,0.6,74
4,SxqSqGQ1LYJ59RO4htDQ,0.397,0.2,0.8,60
3,cW8GwQmlfOm4TCbVMrVt,0.3888,0.2199,0.4,91
1,I2QtfMpPDixkYknKBme8,0.3573,0.1683,0.6,85
4,atvPnPQcM0FFyFz6oRh5,0.3314,0.1896,0.6,83
3,FSlPn89xy82DPpP8gMJD,0.3172,0.2746,1.0,76
2,WcEaILk7JG20ddfSX9JM,0.293,0.0985,1.0,58
3,ZqmYznzm1ets28jyV66W,0.2897,0.1308,0.6,38
3,zlBPTJtFek9Wy05AaPTD,0.2828,0.1634,0.4,81
2,LNSFjAxXvMVnSAcBfA2j,0.2643,0.1093,0.6,9
4,xeQ0nXBIAAoLs1okPf4V,0.2604,0.2208,0.8,13
2,OPpqTfpP7LdBBFrDeJAO,0.2497,0.1274,0.6,59
5,dYpC7okqKycOB2sUgCQR,0.24,0.0323,1.0,
4,Ln23r1ukl5brDWMdHGR0,0.2156,0.1872,1.0,41
3,Hc46kNNIrL0CrjR6kddu,0.2001,0.1724,0.6,10
1,Em8Ctxhz4bo7N65jONWg,0.1781,0.0888,0.8,84
1,LcvtxyoXMR6SDbyJhf4B,0.1594,0.2096,0.6,86
4,lFtMblSONntfsqyh20ka,0.1592,0.1667,1.0,28
1,w2mhA0hWqQ93KzBmqmec,0.1535,0.2177,0.4,87
2,NXltSnhuRcd4K2l1mZHE,0.1469,0.2328,1.0,42
5,VzrCumSBX87JnIf8ehKt,0.1317,0.0186,1.0,
3,hzl498g9RffsMQpA1sRa,0.1301,0.2452,0.8,26
5,piMkTxcl7hSIErHXzovZ,0.1201,0.189,1.0,
1,RymSumAaUKDKnumFbZLb,0.1157,0.1743,0.6,7
1,WWi7fNWTDIPJe3p9Pi2c,0.111,0.2454,0.8,55
4,nDlQGIq6PEEQEOIiSbAf,0.102,0.2174,0.8,62
1,6EaYU85nVBNW6DcPqaA5,0.0905,0.1562,1.0,31
3,Z1PH5PnkeCAYIm1b7Ynk,0.0821,0.1694,0.8,69
3,5gmjQXFfMhDfYWopYPRR,0.0776,0.2066,0.2,25
2,EKY1UGSc5TChPU33ARyw,0.0763,0.1389,0.6,68
2,qpQRWF7dpNQAkyozTnz7,0.073,0.1344,1.0,32
4,lhD7XUa6TEodN6cfFSzb,0.0549,0.1194,0.8,40
4,DJPSA5ZzDdNpt5oakqVQ,0.0512,0.1632,0.4,90
1,NpuyoBsTcOckEOeIVITg,0.0478,0.16,0.6,17
4,amzwpECJchH2gf3azeJh,0.0472,0.1177,0.8,45
2,bM0YFWPHlm9W4BbTBPcT,0.044,0.1891,1.0,54
5,f2gHTH1m7ERBnpnPaa3e,0.0377,0.1506,1.0,
3,IPrurnAQ4gUyv58ITNHx,0.0311,0.1765,0.2,66
3,Wg8cJ7C4f7kEHLehSKAu,0.028,0.1742,0.6,64
2,3SJwpETiqeXeVQQeSL2C,0.027,0.1551,0.2,80
1,5PMM62rTZCur1sGVOjE4,0.0115,0.1883,0.2,24
1,GzYzrmbzHeXtPnp56Z10,0.007,0.1553,0.6,57
2,BeLRIWMr4JXTcHOWxyUy,0.0069,0.2019,0.8,61
2,EmsEd0XimlqZJSW20BPk,0.0066,0.2103,1.0,34
1,w1r2V5nR5q9pBrSgEi82,0.0038,0.1465,0.6,75
3,AJdjjhtK8PcFCMebETh5,0.0024,0.1638,0.2,46
4,ftLJXrWhRtZa9W5sPFwP,0.0022,0.1731,0.6,21
1,MEpRrGXZymdGUYb2wAfM,0.0018,0.208,0.4,95
3,AqgleduJLHjpBkkvNkhC,0.0018,0.1877,0.6,53
5,bYtiJRSNQ0xjAFD4lUgH,0.0015,0.1851,1.0,
1,Gwbxzd0ChGS4KynANjU5,-0.0008,0.1208,0.6,56
3,LB2uc5AFzP7RRrDwahoJ,-0.0015,0.1217,0.8,88
1,5bTYZUD1fC8LxDPNbeBz,-0.0052,0.1307,0.0,96
3,fD7iPA1popZRRUN4eZE1,-0.0104,0.1779,0.4,98
5,Hmv1RMq59r9VklABzrzn,-0.0168,0.1851,1.0,
1,dqshJgJWfziosu0GhtIh,-0.0171,0.1441,0.8,79
2,XgvmgXLeD6vauaKksUTm,-0.0194,0.1584,0.6,97
5,CRNC5oHzpTDjvGonwNdA,-0.0205,0.103,1.0,
