reveal_fraction,mean_d_ai,mean_d_human,mean_delta,mean_solve_ai,mean_solve_human,mean_solve_gap
0.0,3.8752,3.4789,0.3963,0.093,0.1563,0.0633
0.05,3.7827,3.3932,0.3895,0.0958,0.1631,0.0672
0.1,3.6513,3.2712,0.3801,0.1004,0.1733,0.0729
0.15,3.4717,3.1043,0.3674,0.1077,0.1887,0.081
0.2,3.2393,2.8882,0.3511,0.119,0.2111,0.0921
0.25,2.9594,2.6282,0.3312,0.1357,0.2421,0.1064
0.3,2.6489,2.34,0.3089,0.1589,0.2821,0.1232
0.35,2.3302,2.0447,0.2855,0.1882,0.3281,0.14
0.4,2.0241,1.7616,0.2625,0.221,0.3757,0.1546
0.45,1.7454,1.5045,0.2409,0.2548,0.4215,0.1667
0.5,1.5025,1.2811,0.2213,0.2873,0.4636,0.1763
0.55,1.2962,1.0927,0.2035,0.3168,0.5003,0.1835
0.6,1.1223,0.9355,0.1868,0.3422,0.531,0.1888
0.65,0.9748,0.804,0.1708,0.3638,0.5569,0.1932
0.7,0.8479,0.6929,0.155,0.3822,0.5791,0.197
0.75,0.7365,0.5974,0.1391,0.3982,0.598,0.1997
0.8,0.6353,0.5125,0.1228,0.412,0.6134,0.2014
0.85,0.5403,0.4344,0.1059,0.4235,0.6264,0.2028
0.9,0.4501,0.3618,0.0883,0.4334,0.6383,0.2049
0.95,0.3671,0.2965,0.0707,0.4426,0.6505,0.2079
1.0,0.2946,0.2407,0.0539,0.4517,0.6624,0.2107
