model,theta_qanta_scale
thunghiatruong/claude-heavyweight,0.4382
ileygreg/qanta_41mini_v2,0.4095
168mxie/heavy1,0.4095
ileygreg/qanta_41miniv1,0.3999
168mxie/heavy2,0.3808
ileygreg/qanta_41mini_v3,0.3618
168mxie/heavy3,0.3142
eshanli/eshan_v3_calibrated_nano,0.2575
Mokshj1/moksh_tossup_multimodal_qa,0.2575
sidS216/sid_tossup_agent,0.2011
nirjharami108/qanta41mini_v1,0.1918
divyagoyal6224/divya6224,-0.2468
divyagoyal6224/divyagoyal,-0.3355
168mxie/anthropic,-0.6434
eshanli/calibrated_3step_tossup_v1,-1.0901
168mxie/tw-step-simple,-1.3062
HUMAN,1.4872
HUMAN_buzz_only,4.0221
