packet,nano,delta_area,gap_area,human_buzz_frac,org_adv_rank
2,RtTjMY8PLfkYYn0C74ri,3.5906,0.2401,1.0,1
2,lTRxMAHr44dPaBWARrv6,2.4793,0.384,1.0,5
2,FoIIY3NZ2zlaiM8m5ssY,2.4758,0.2543,1.0,3
3,Hc46kNNIrL0CrjR6kddu,2.3654,0.0546,0.6,10
4,xeQ0nXBIAAoLs1okPf4V,2.351,0.0802,0.8,13
2,JSgtsRTgAWKoKskUdk5c,2.2965,0.0655,0.8,8
1,RymSumAaUKDKnumFbZLb,2.225,0.07,0.6,7
3,OZBuu5dExz2bWouyhXCX,2.0629,0.0728,0.6,63
4,lFtMblSONntfsqyh20ka,1.9144,0.274,1.0,28
2,nWa9M3JHZkZUkh4tvZzv,1.7256,0.3576,1.0,6
3,hzl498g9RffsMQpA1sRa,1.6026,0.2985,0.8,26
1,NpuyoBsTcOckEOeIVITg,1.5396,0.0331,0.6,17
4,ftLJXrWhRtZa9W5sPFwP,1.3761,0.0361,0.6,21
1,Pv4vwLpJWiSpu6CJVx1x,0.8679,0.0239,0.6,18
1,8JAFUITLrwZCMFkrmP6L,0.8397,0.3274,0.8,33
5,tfFfPpV8sVyypYyIyUP9,0.7319,0.2044,1.0,
3,o4nZbIcZSX4boHBjTZVn,0.7068,0.361,0.6,39
4,8eOnJExgG3MFgY747W8t,0.7049,0.1873,0.8,44
3,5gmjQXFfMhDfYWopYPRR,0.6697,0.013,0.2,25
1,5PMM62rTZCur1sGVOjE4,0.6535,0.0133,0.2,24
4,O1yyRkTLvQdrlqua3V0c,0.5823,0.4109,0.8,48
3,lgOxKPam6BGiv3xhocdG,0.4999,0.2302,0.8,16
4,r059KXaLJFhyH037WaXB,0.4914,0.1672,0.8,51
2,tvjdNWhB4uGKe6y8at2B,0.456,0.3157,0.8,37
3,lmJujW41V3etZ89PTHFz,0.4111,0.3836,1.0,43
4,lhD7XUa6TEodN6cfFSzb,0.4068,0.1617,0.8,40
4,t5g7AuUI7qtpnK9CXh0l,0.3999,0.2776,0.8,52
4,EpS4cHZdIsGK9tbAVLF5,0.3326,0.2984,1.0,35
2,ZBkYl7ZwedkrrhTlkylv,0.3085,0.2704,1.0,2
4,Ef0Iqz1ZONhttNfXlfLp,0.2945,0.232,0.8,50
1,xXVg1KHjxl7PR2ueDO1C,0.2705,0.0637,0.6,30
4,atvPnPQcM0FFyFz6oRh5,0.249,0.3182,0.6,83
2,qpQRWF7dpNQAkyozTnz7,0.2459,0.2422,1.0,32
4,SthSdFIXXygj3uduwLeK,0.2455,0.1131,0.8,20
4,SxqSqGQ1LYJ59RO4htDQ,0.245,0.2988,0.8,60
1,vgzdaVOKiGQUuC8gSLqa,0.2365,0.0121,0.4,89
5,dYpC7okqKycOB2sUgCQR,0.23,0.1274,1.0,
3,zlBPTJtFek9Wy05AaPTD,0.2171,0.2676,0.4,81
3,FSlPn89xy82DPpP8gMJD,0.1799,0.3531,1.0,76
3,cW8GwQmlfOm4TCbVMrVt,0.1766,0.3414,0.4,91
2,LNSFjAxXvMVnSAcBfA2j,0.1614,0.1815,0.6,9
1,I2QtfMpPDixkYknKBme8,0.1596,0.2771,0.6,85
2,OPpqTfpP7LdBBFrDeJAO,0.1512,0.2039,0.6,59
2,NXltSnhuRcd4K2l1mZHE,0.1481,0.2878,1.0,42
4,REYC2yK3nFZQvvqkNrXa,0.138,0.1859,0.6,74
4,Ln23r1ukl5brDWMdHGR0,0.1164,0.2926,1.0,41
3,ZqmYznzm1ets28jyV66W,0.1144,0.215,0.6,38
5,piMkTxcl7hSIErHXzovZ,0.105,0.2836,1.0,
1,w2mhA0hWqQ93KzBmqmec,0.0815,0.3271,0.4,87
5,VzrCumSBX87JnIf8ehKt,0.0701,0.0486,1.0,
2,WcEaILk7JG20ddfSX9JM,0.0515,0.169,1.0,58
1,WWi7fNWTDIPJe3p9Pi2c,0.0508,0.3083,0.8,55
2,EKY1UGSc5TChPU33ARyw,0.0335,0.2298,0.6,68
1,6EaYU85nVBNW6DcPqaA5,0.0304,0.2618,1.0,31
4,nDlQGIq6PEEQEOIiSbAf,0.0298,0.329,0.8,62
