reveal_fraction,mean_d_ai,mean_d_human,mean_delta,mean_solve_ai,mean_solve_human,mean_solve_gap
0.0,4.6086,4.0173,0.5913,0.039,0.1357,0.0967
0.05,4.5371,3.9498,0.5874,0.0413,0.1432,0.102
0.1,4.4334,3.8514,0.5819,0.045,0.155,0.11
0.15,4.289,3.7143,0.5747,0.0512,0.1727,0.1215
0.2,4.1005,3.535,0.5655,0.0611,0.1983,0.1372
0.25,3.8726,3.3187,0.554,0.076,0.2328,0.1568
0.3,3.6191,3.0788,0.5404,0.0964,0.2745,0.1781
0.35,3.3576,2.8325,0.5251,0.1216,0.3197,0.1981
0.4,3.1039,2.5953,0.5087,0.1495,0.3643,0.2148
0.45,2.8682,2.3768,0.4913,0.1778,0.4054,0.2276
0.5,2.6536,2.1806,0.473,0.2045,0.4418,0.2373
0.55,2.4575,2.0046,0.453,0.2284,0.4735,0.245
0.6,2.2742,1.8437,0.4305,0.2494,0.5015,0.2521
0.65,2.098,1.6929,0.4051,0.2681,0.5271,0.259
0.7,1.9241,1.5477,0.3764,0.2853,0.5505,0.2652
0.75,1.7489,1.4042,0.3446,0.3012,0.5715,0.2704
0.8,1.5696,1.2593,0.3102,0.3159,0.5912,0.2753
0.85,1.386,1.112,0.274,0.3298,0.6107,0.281
0.9,1.2014,0.9646,0.2368,0.3433,0.6314,0.288
0.95,1.0215,0.8216,0.1999,0.3571,0.653,0.2959
1.0,0.8524,0.6879,0.1645,0.371,0.6748,0.3038
