packet,nano,reveal_fraction,correct,censored
1,5PMM62rTZCur1sGVOjE4,0.44067797,1,0
1,5PMM62rTZCur1sGVOjE4,1.0,0,1
1,5PMM62rTZCur1sGVOjE4,1.0,0,1
1,5PMM62rTZCur1sGVOjE4,1.0,0,1
1,5PMM62rTZCur1sGVOjE4,1.0,0,1
1,5bTYZUD1fC8LxDPNbeBz,1.0,0,1
1,5bTYZUD1fC8LxDPNbeBz,1.0,0,1
1,5bTYZUD1fC8LxDPNbeBz,1.0,0,1
1,5bTYZUD1fC8LxDPNbeBz,1.0,0,1
1,5bTYZUD1fC8LxDPNbeBz,1.0,0,1
1,6EaYU85nVBNW6DcPqaA5,0.54216867,1,0
1,6EaYU85nVBNW6DcPqaA5,0.55421687,1,0
1,6EaYU85nVBNW6DcPqaA5,0.57831325,1,0
1,6EaYU85nVBNW6DcPqaA5,0.57831325,1,0
1,6EaYU85nVBNW6DcPqaA5,0.62650602,1,0
1,8JAFUITLrwZCMFkrmP6L,0.30232558,1,0
1,8JAFUITLrwZCMFkrmP6L,0.90697674,1,0
1,8JAFUITLrwZCMFkrmP6L,0.90697674,1,0
1,8JAFUITLrwZCMFkrmP6L,0.93023256,1,0
1,8JAFUITLrwZCMFkrmP6L,1.0,0,1
1,Em8Ctxhz4bo7N65jONWg,0.61538462,0,0
1,Em8Ctxhz4bo7N65jONWg,0.71428571,1,0
1,Em8Ctxhz4bo7N65jONWg,0.72527473,1,0
1,Em8Ctxhz4bo7N65jONWg,0.86813187,0,0
1,Em8Ctxhz4bo7N65jONWg,1.0,0,1
1,Gwbxzd0ChGS4KynANjU5,0.61627907,0,0
1,Gwbxzd0ChGS4KynANjU5,0.61627907,1,0
1,Gwbxzd0ChGS4KynANjU5,0.69767442,1,0
1,Gwbxzd0ChGS4KynANjU5,1.0,0,1
1,Gwbxzd0ChGS4KynANjU5,1.0,0,1
1,GzYzrmbzHeXtPnp56Z10,0.4,1,0
1,GzYzrmbzHeXtPnp56Z10,0.42068966,0,0
1,GzYzrmbzHeXtPnp56Z10,0.48965517,1,0
1,GzYzrmbzHeXtPnp56Z10,1.0,0,1
1,GzYzrmbzHeXtPnp56Z10,1.0,0,1
1,I2QtfMpPDixkYknKBme8,0.24242424,1,0
1,I2QtfMpPDixkYknKBme8,0.24242424,0,0
1,I2QtfMpPDixkYknKBme8,0.53535354,1,0
1,I2QtfMpPDixkYknKBme8,1.0,0,1
1,I2QtfMpPDixkYknKBme8,1.0,0,1
1,LcvtxyoXMR6SDbyJhf4B,0.30088496,0,0
