qid,answerline,plays,human_first_buzz_count,human_first_buzz_avg,human_first_buzz_std,human_first_buzz_accuracy,ai_first_buzz_count,ai_first_buzz_avg,ai_first_buzz_std,ai_first_buzz_accuracy_count,ai_first_buzz_accuracy
advvqa-packet1-t-5PMM62rTZCur1sGVOjE4,<b>__**French**__ or __**français**__</b>,5,1,52.000,0.000,1.000000,5,14.600,3.878,5,0.000000
advvqa-packet1-t-5bTYZUD1fC8LxDPNbeBz,<b>Hill Valley</b>,5,0,,,,5,21.200,8.328,5,0.600000
advvqa-packet1-t-6EaYU85nVBNW6DcPqaA5,<b>Singapore</b>,5,5,47.800,2.400,1.000000,5,18.200,5.600,5,0.800000
advvqa-packet1-t-8JAFUITLrwZCMFkrmP6L,<b>_Apollo_ Mission</b>,5,4,65.500,22.820,1.000000,5,18.200,0.980,5,0.200000
advvqa-packet1-t-Em8Ctxhz4bo7N65jONWg,<b>London</b>,5,4,66.500,8.201,0.500000,5,28.000,18.547,5,0.200000
advvqa-packet1-t-Gwbxzd0ChGS4KynANjU5,<b>Thirty-six Views of Mount _Fuji_</b>,5,3,55.333,3.300,0.666667,5,28.400,10.111,5,0.400000
advvqa-packet1-t-GzYzrmbzHeXtPnp56Z10,<b>New Jersey</b>,5,3,63.333,5.558,0.666667,5,23.600,0.800,5,0.000000
advvqa-packet1-t-I2QtfMpPDixkYknKBme8,"<b>Washington, D.C.</b>",5,3,33.667,13.671,0.666667,4,22.250,4.763,4,0.750000
advvqa-packet1-t-LcvtxyoXMR6SDbyJhf4B,<b>Groundhog Day</b>,5,3,44.000,8.165,0.666667,5,13.200,0.980,5,0.600000
advvqa-packet1-t-MEpRrGXZymdGUYb2wAfM,<b>Cholera</b>,5,2,60.500,11.500,1.000000,5,17.000,2.449,5,1.000000
advvqa-packet1-t-NpuyoBsTcOckEOeIVITg,<b>Chinatown (accept equivalents)</b>,5,3,48.333,8.654,0.666667,4,23.000,16.748,4,0.000000
advvqa-packet1-t-Pv4vwLpJWiSpu6CJVx1x,<b>Disney World</b>,5,3,46.333,22.216,0.666667,5,13.000,3.098,5,0.000000
advvqa-packet1-t-RymSumAaUKDKnumFbZLb,<b>_Around the World in 80 Days_ or _Le Tour du monde en quatre-vingts jours_</b>,5,3,42.333,5.907,1.000000,5,22.000,12.247,5,0.000000
advvqa-packet1-t-WWi7fNWTDIPJe3p9Pi2c,<b>Battle of Waterloo</b>,5,4,41.750,3.031,1.000000,5,16.400,1.960,5,0.600000
advvqa-packet1-t-dqshJgJWfziosu0GhtIh,<b>New York City</b>,5,4,25.750,18.713,0.250000,5,17.000,6.000,5,0.200000
advvqa-packet1-t-hXDm3m6AEpv2TxJ0HKdZ,<b>Lithuania</b>,5,3,45.333,15.628,0.333333,5,21.200,12.671,5,0.600000
advvqa-packet1-t-vgzdaVOKiGQUuC8gSLqa,<b>University of _Illinois_ Champaign-Urbana</b>,5,2,61.000,4.000,0.500000,5,19.400,10.229,5,0.200000
